ID,Name,Type,Sub-Type,Syze,Hit dice,Dice Type,Life Bonus,Initiative,Speed,Armor Class,Base Attack,Grapple,Attack,Full Attack,Space|Reach,Special Attacks,Special Qualities,Fortitude,Reflexes,Will,Str,Dex,Con,Int,Wis,Cha,Skills,Feats,Enviroments,Challenge Rating,Treasure,Alignment,LvL Adjustment,Organization,Advancement
11,Tojanida(Adult),Outsider,Extraplanar| Water,Medium,7,d8,14,1,2|0|18|0|0,23|11|22,7,10,Bite +10 melee (2d8+3),Bite +10 melee (2d8+3) and 2 claws +5 melee (1d6+1),1|1,Improved Grab| Ink Cloud,All-around vision| darkvision 60 ft.| immunity to acid and cold| electricity 10 and fire 10,7,6,6,16,13,15,10,12,9,        Diplomacy +1| Escape Artist +11| Hide +11| Knowledge (the planes) +6| Listen +11| Search +14| Sense Motive +11| Spot +15| Survival +1 (+3 other planes and following tracks)| Swim +11| Use Rope+1 (+3 with bindings),Blind Fight| Dodge| Power Attack,Elemental Plane of Water,5,Standard,Neutral Neutral,-,Solitary or clutch (2–4),8–14 HD (Medium) 
12,Air Mephit,Outsider,Air| Extraplanar,Small,3,d8,0,7,6|12|0|0|0,17|14|14,3,-1,Claw +4 melee (1d3),2 claws +4 melee (1d3),1|1,Breath weapon| spell-like abilities| summon mephit,        Damage reduction 5/magic| darkvision 60 ft.| fast healing 2,3,6,3,10,17,10,6,11,15,Bluff +8| Escape Artist +9| Hide +13| Diplomacy +4| Disguise +2 (+4 acting)| Intimidate +4| Listen +6| Move Silently +9| Spot +6| Use Rope +3 (+5 with bindings),Dodge| Improved Initiative,Elemental Plane of Air,3,Standard,Neutral Neutral,3,Solitary (1)| gang (2–4 mephits of mixed types)| or mob (5–12 mephits of mixed types) ,4–6 HD (Small)| 7–9 HD (Medium) 
13,Arrowhawk(Juvenile),Outsider,Air| Extraplanar,Small,3,d8,3,5,0|12|0|0|0,20|16|15,3,0,Electricity ray +9 ranged touch (2d6) or bite +9 melee (1d6+1),Electricity ray +9 ranged touch (2d6) or bite +9 melee (1d6+1),1|1,Electricity Ray,Darkvision 60 ft.| immunity to acid| electricity and poison| resistance to cold 10 and fire 10,4,8,4,12,21,12,10,13,13,Diplomacy +3| Escape Artist +11| Knowledge (the planes) +6| Listen +7| Move Silently +11| Search +6| Sense Motive +7| Spot +7| Survival +7 (+9 following tracks and +9 Plane of Air)| Use Rope +5 (+7 with bindings),Dodge| Weapon Finesse,Elemental Plane of Air,3,None,Neutral Neutral,-,Solitary or clutch (2–4) ,4–6 HD (Small)
14,Arrowhawk(Adult),Outsider,Air| Extraplanar,Medium,7,d8,7,5,0|12|0|0|0,21|15|16,7,9,Electricity ray +12 ranged touch (2d8) or bite +12 melee (1d8+3),Electricity ray +12 ranged touch (2d8) or bite +12 melee (1d8+3),1|1,Electricity Ray,Darkvision 60 ft.| immunity to acid| electricity and poison| resistance to cold 10 and fire 11,6,10,6,14,21,12,10,13,13,Diplomacy +3| Escape Artist +15| Knowledge (the planes) +10| Listen +11| Move Silently +15| Search +10| Sense Motive +11| Spot +11| Survival +11 (+13 following tracks| +13 Plane of Air)| Use Rope +5 (+7 with bindings),Dodge| Flyby Attack| Weapon Finesse,Elemental Plane of Air,5,None,Neutral Neutral,-,Solitary or clutch (2–4) ,8–14 HD (Medium)
15,Arrowhawk(Elder),Outsider,Air| Extraplanar,Large,15,d8,45,5,0|12|0|0|0,22|14|17,15,25,Electricity ray +19 ranged touch (2d8) or bite +21 melee (2d6+9),Electricity ray +19 ranged touch (2d8) or bite +21 melee (2d6+9),2|1,Electricity Ray,Darkvision 60 ft.| immunity to acid| electricity and poison| resistance to cold 10 and fire 12,12,14,10,22,21,16,10,13,13,Diplomacy +3| Escape Artist +23| Knowledge (the planes) +18| Listen +21| Move Silently +23| Search +18| Sense Motive +19| Spot +21| Survival +19 (+21 following tracks and +21 Plane of Air)| Use Rope +5 (+7 involving bindings),Alertness| Blind Fight| Combat Reflexes| Dodge| Flyby Attack| Weapon Finesse| Weapon Focus (bite),Elemental Plane of Air,8,None,Neutral Neutral,-,Solitary or clutch (2–4) ,16–24 HD (Large)| 25–32 HD (Gargantuan)
16,Astral Deva,Outsider,Angel| Extraplanar| Good,Medium,12,d8,48,8,10|20|0|0|0,29|14|25,12,18, +3 heavy mace of disruption +21 melee (1d8+12 plus stun) or slam +18 melee (1d8+9), +3 heavy mace of disruption +21/+16/+11 melee (1d8+12 plus stun) or slam +18 melee (1d8+9),1|1,Spell-like abilities| Stun,Damage reduction 10/evil| darkvision 60 ft.| low-light vision| immunity to acid| cold and petrification| protective aura| resistance to electricity 10 and fire 10| spell resistance 30| tongues| uncanny dodge,14,12,12,22,18,18,18,18,20,Concentration +19| Craft or Knowledge (any three) +19| Diplomacy +22| Escape Artist +19| Hide +19| Intimidate +20| Listen +23| Move Silently +19| Sense Motive +19| Spot +23| Use Rope +4 (+6 with bindings),Alertness| Cleave| Great Fortitude| Improved Initiative| Power Attack,Good-Aligned Plane,14,No cois|double goods|standard itens,Good (any),8,Solitary| pair| or squad (3–5) ,13–18 HD (Medium)| 19–36 HD (Large) 
17,Water Elemental(Large),Elemental,,Large,8,d8,32,2,4|0|18|0|0,20|11|18,6,15,Slam +10 melee (2d8+5),2 slams +10 melee (2d8+5),2|2,Water mastery| drench| vortex,        Damage reduction 5/–| darkvision 60 ft| elemental traits,10,4,2,20,14,19,6,11,11,Listen +5| Spot +6,	Cleave| Great Cleave| Power Attack,Elemental Plane of Water,5,None,Neutral Neutral,-,,
18,Water Elemental(Medium),Elemental,,Medium,4,d8,12,1,4|0|18|0|0,19|11|18,3,6,Slam +6 melee (1d8+4),Slam +6 melee (1d8+4),1|1,Water mastery| drench| vortex,Darkvision 60 ft| elemental traits,7,2,1,16,12,17,4,11,11,Listen +3| Spot +4,	Cleave| Power Attack,Elemental Plane of Water,3,None,Neutral Neutral,-,,
19,Water Elemental(Small),Elemental,,Small,2,d8,2,0,4|0|18|0|0,17|11|17,1,1,Slam +4 melee (1d6+3),Slam +4 melee (1d6+3),1|1,Water mastery| drench| vortex,Darkvision 60 ft| elemental traits,4,0,0,14,10,13,4,11,11,Listen +2| Spot +3,Power Attack,Elemental Plane of Water,1,None,Neutral Neutral,-,,
20,Fire Elemental(Large),Elemental,,Large,8,d8,24,9,10|0|0|0|0,28|14|13,6,12,Slam +10 melee (2d6+2 plus 2d6 fire),	2 slams +10 melee (2d6+2 plus 2d6 fire),2|2,Burn,        Damage reduction 5/–| Darkvision 60 ft| elemental traits| immunity to fire| vulnerability to colds,5,11,2,14,21,16,6,11,11,Listen +5| Spot +6,        Dodge| Improved Initiative| Mobility| Spring Attack| Weapon Finesse,Elemental Plane of Fire,5,None,Neutral Neutral,-,,
21,Fire Elemental(Medium),Elemental,,Medium,4,d8,8,7,10|0|0|0|0,16|13|13,3,4,Slam +6 melee (1d6+1 plus 1d6 fire),Slam +6 melee (1d6+1 plus 1d6 fire),1|1,Burn,Darkvision 60 ft| elemental traits| immunity to fire| vulnerability to colds,3,7,1,12,17,14,4,11,11,Listen +3| Spot +4,Dodge| Improved Initiative| Mobility| Weapon Finesse,Elemental Plane of Fire,3,None,Neutral Neutral,-,,
22,Fire Elemental(Small),Elemental,,Small,2,d8,0,5,10|0|0|0|0,15|12|14,1,-3,Slam +3 melee (1d4 plus 1d4 fire),Slam +3 melee (1d4 plus 1d4 fire),1|1,Burn,Darkvision 60 ft| elemental traits| immunity to fire| vulnerability to colds,0,4,0,10,13,10,4,11,11,Listen +2| Spot +3,Dodge| Improved Initiative| Weapon Finesse,Elemental Plane of Fire,1,None,Neutral Neutral,-,,
23,Earth Elemental(Large),Elemental,,Large,8,d8,32,-1,4|0|0|0|0,18|8|18,6,17,Slam +12 melee (2d8+7),2 Slam +12 melee (2d8+7),2|2,        Earth mastery| push,        Damage reduction 5/–|Darkvision 60 ft| earth glide| elemental traits,10,1,2,25,8,19,6,11,11,Listen +6| Spot +5,	Cleave| Great Cleave| Power Attack,Elemental Plane of Earth,5,None,Neutral Neutral,-,,
24,Earth Elemental(Medium),Elemental,,Medium,4,d8,12,-1,4|0|0|0|0,18|9|18,3,8,	Slam +8 melee (1d8+7),	Slam +8 melee (1d8+7),1|1,        Earth mastery| push,Darkvision 60 ft| earth glide| elemental traits,7,0,1,21,8,17,4,11,11,Listen +4| Spot +3,	Cleave| Power Attack,Elemental Plane of Earth,3,None,Neutral Neutral,-,,
25,Earth Elemental(Small),Elemental,,Small,2,d8,2,-1,4|0|0|0|0,17|10|17,1,0,Slam +5 melee (1d6+4),Slam +5 melee (1d6+4),1|1,        Earth mastery| push,        Darkvision 60 ft| earth glide| elemental traits,4,-1,0,17,8,13,4,11,11,Listen +3| Spot +2,Power Attack,Elemental Plane of Earth,1,None,Neutral Neutral,-,,
26,Invisible Stalker,Elemental,Air| Extraplanar,Large,8,d8,16,8,6|6|0|0|0,17|13|13,6,14,Slam +10 melee (2d6+4),Slam +10 melee (2d6+4),2|2,-,Darkvision 60 ft| elemental traits| natural invisibility| improved tracking,4,10,4,18,19,14,14,15,11,Listen +13| Move Silently +15| Search +13| Spot +13| Survival +2 (+4 following tracks),Combat Reflexes| Improved Initiative| Weapon Focus (slam),Elemental Plane of Air,7,None,Neutral Neutral,-,Solitary,9–12 HD (Large)| 13–24 HD (Huge)
27,Magmin,Elemental,Fire| Extraplanar,Small,2,d8,2,0,6|0|0|0|0,17|11|17,1,-1,Burning touch +4 melee touch (1d8 fire plus combustion) or slam +4 melee (1d3+3 plus combustion),Burning touch +4 melee touch (1d8 fire plus combustion) or slam +4 melee (1d3+3 plus combustion),1|1,Combustion| fiery aura,Damage reduction 5/magic| darkvision 60 ft| elemental traits| immunity to fire| melt weapons| vulnerability to cold,3,3,0,15,11,13,8,10,10,Climb +4| Spot +3,Great Fortitude,Elemental Plane of Fire,3,Standard coins| standard goods (nonflammables only)| standard items (nonflammables only),Chaotic Neutral,-,Solitary| gang (2–4)| or squad (6–10),3–4 HD (Small)| 5–6 HD (Medium)
28,Belker,Elemental,Air| Extraplanar,Large,7,d8,7,5,6|10|0|0|0,22|14|17,5,11,Wing +9 melee (1d6+2),2 wings +9 melee (1d6+2) and bite +4 melee (1d4+1) and 2 claws +4 melee (1d3+1),2|2,       Smoke claws,        Darkvision 60 ft| elemental traits| smoke form,3,10,2,14,21,13,6,11,11,Listen +7| Move Silently +9| Spot +7,        Alertness| Multiattack| Weapon Finesse,Elemental Plane of Air,6,None,Neutral Evil,-,Solitary| pair| or clutch (3-4),8–10 HD (Large)| 11–21 HD (Huge)
29,Thoqqua,Elemental,Earth| Extraplanar| Fire,Medium,3,d8,3,1,6|0|0|4|0,18|11|17,2,4,        Slam +4 melee (1d6+3 plus 2d6 fire),        Slam +4 melee (1d6+3 plus 2d6 fire),1|1,        Heat| burn,Darkvision 60 ft| elemental traits| immunity to fire| tremorsense 60 ft| vulnerability to cold,4,2,2,15,13,13,6,12,10,	Listen +5| Move Silently +3| Survival +3,Alertness| Track,Elemental Plane of Fire,2,None,Neutral Neutral,-,Solitary or pair,4–9 HD (Large)
30,Crysmal,Elemental,Earth| Psionic,Small,6,d8,6,2,6|0|0|4|0,21|13|19,4,2,Sting +7 melee (1d3+3),Sting +7 melee (1d3+3),1|1,       Psi-like abilities,       Damage reduction 5/ bludgeoning| elemental traits| immunity to fire and cold| resistance to electricity 15,8,6,2,15,14,12,6,10,14,Appraise +9| Climb +5| Jump +5| Listen +2| Spot +10,Alertness| Great Fortitude| Lightning Reflexes,Underground,3,Double goods (gems only),Lawful,-,Solitary or facet (2–5),7–12 HD (Medium)| 13–18 HD (Large)
31,Ankheg,Magical Beast,-,Large,3,d10,12,0,6|0|0|4|0,18|9|18,3,12,Bite +7 melee (2d6+7 plus 1d4 acid),Bite +7 melee (2d6+7 plus 1d4 acid),2|1,Improved Grab| Spit Acid,Darkvision 60 ft| low-light vision| tremorsense 60 ft,6,3,2,21,10,17,1,13,6,Climb +8| Listen +6| Spot +3,Alertness| Toughness,Plains Warn,3,None,Neutral,-,Solitary or Cluster(2-4),4 HD (Large)| 5–9 HD (Huge)
32,Average Salamander,Outsider,Extraplanar| Fire,Medium,9,d8,18,1,4|0|0|0|0,18|11|17,9,11,Spear +11 melee (1d8+3/x3 plus 1d6 fire),spear +11/+6 melee (1d8+3/x3 plus 1d6 fire) and tail slap +9 melee (2d6+1 plus 1d6 fire with 2 blocks of range),1|1,Constrict 2d6+1 plus 1d6 fire| Heat| Improved Grab,Damage reduction 10/magic| darkvision 60 ft.| immunity to fire| vulnerability to cold,8,7,8,14,13,14,14,15,13,Bluff +11| Craft (blacksmithing) +19| Diplomacy +3| Disguise +1 (+3 acting)| Hide +11| Intimidate +3| Listen +8| Move Silently +11| Search +12| Spot +8,Alertness| Multiattack| Power Attack,Elemental Plane of Fire,6,Standard (nonflammables only),Evil,5,Solitary| pair or cluster (3-5),8-14 HD (Medium)
33,Aranea,Magical Beast,Shapechanger,Medium,3,d10,6,6,10|0|0|0|0,13|12|11,3,3,Bite +5 melee (1d6 plus poison) or web +5 ranged,	Bite +5 melee (1d6 plus poison) or web +5 ranged,1|1,Poison| Spells| Web,Change shape| darkvision 60 ft| low-light vision,5,5,4,11,15,14,14,13,14,Climb +14| Concentration +8| Escape Artist +5| Jump +13| Listen +6| Spot +6,Improved Initiative| Iron Will| Weapon Finesse,Temperate forests,4,Standard coins| double goods| standard items,Neutral Neutral,4,Solitary or colony (3-6),By Character Class
35,Black Pudding,Ooze,-,Huge,10,d10,60,-5,4|0|0|0|4,3|3|3,7,18,Slam +8 melee (2d6+4 plus 2d6 acid),Slam +8 melee (2d6+4 plus 2d6 acid),3|2,Acid| constrict 2d6+4 plus 2d6 acid| improved grab,Blindsight 60 ft| split| ooze traits,9,-2,-2,17,1,22,-,1,1,Climb +11,-,Underground,7,None,Neutral Neutral,-,Solitary,11–15 HD (Huge)| 16–30 HD (Gargantuan)
36,Assassin Vine,Plant,-,Large,4,d8,12,0,1|0|0|0|0,15|9|15,3,12,Slam +7 melee (1d6+7),Slam +7 melee (1d6+7),2|2,Constrict 1d6+7| entangle| improved grab,Blindsight 30 ft| camouflage| immunity to electricity| low-light vision| plant traits| resistance to cold 10 and fire 10,7,1,2,20,10,16,-,13,9,-,-,Temperate forests,3,1/10th coins| 50% goods| 50% items,Neutral Neutral,-,Solitary or patch (2-4),5–16 HD (Huge)| 17–32 HD (Gargantuan)| 33+ HD (Colossal)
37,Avoral,Outsider,Extraplanar| Good,Medium,7,d8,35,6,8|18|0|0|0,24|16|18,7,9,Claw +13 melee (2d6+2) or wing +13 melee (2d8+2) ,2 claws +13 melee (2d6+2) or 2 wings +13 melee (2d8+2),1|1,Spell-like abilities| fear aura ,Damage reduction 10/evil or silver| darkvision 60 ft.| immunity to electricity and petrification| lay on hands| low-light vision| resistance to cold 10 and sonic 10| speak with animals| spell resistance 25| true seeing,10,11,8,15,23,20,15,16,16,Bluff +13| Concentration +15| Diplomacy +7| Disguise +3 (+5 acting)| Handle Animal +13| Hide +16| Intimidate +5| Knowledge (any one) +12| Listen +13| Move Silently +16| Ride +8| Sense Motive +13| Spellcraft +12| Spot +21,Empower Spell-Like Ability (magic missile)| Flyby Attack| Weapon Finesse,Good-Aligned Plane,9,No coins| double goods| standard items,Neutral Good,-,Solitary| pair| or squad (3–5) ,8–14 HD (Medium)| 15–21 HD (Large)
38,Azer,Outsider,Extraplanar| Fire,Medium,2,d8,2,1,4|0|0|0|0,23|11|22,2,3,Warhammer +3 melee (1d8+1/x3 plus 1 fire) or shortspear +3 ranged (1d6+1 plus 1 fire) ,Warhammer +3 melee (1d8+1/x3 plus 1 fire) or shortspear +3 ranged (1d6+1 plus 1 fire) ,1|1,Heat,Darkvision 60 ft.| immunity to fire| spell resistance 13| vulnerability to cold ,4,4,4,13,13,13,12,12,9,Appraise +6| Climb +0| Craft (any two) +6| Hide +0| Jump –6| Listen +6| Search +6| Spot +6 ,Power Attack,Elemental Plane of Fire,2,Standard coins| double goods (nonflammables only)| standard items (nonflammables only),Lawful Neutral,4,Solitary| pair| team (3–4)| squad (11–20 plus 2 3rd-level sergeants and 1 leader of 3rd–6th level)| or clan (30–100 plus 50% noncombatants plus 1 3rd-level sergeant per 20 adults| 5 5th-level lieutenants| and 3 7th-level captains),By Character Class
39,Babau,Outsider,Chaotic| Demon| Extraplanar| Evil,Medium,7,d8,35,1,6|0|0|0|0,19|11|18,7,12,Claw +12 melee (1d6+5),2 claws +12 melee (1d6+5) and bite +7 melee (1d6+2),1|1,Sneak attack +2d6| spell-like abilities| summon demon,Damage reduction 10/cold iron or good| darkvision 60 ft.| immunity to electricity and poison| protective slime| resistance to acid 10| cold 10| and fire 10| spell resistance 14| telepathy 100 ft.,10,6,6,21,12,20,14,13,16,Climb +15| Disable Device +12| Disguise +13| Escape Artist +11| Hide +19| Listen +19| Move Silently +19| Open Lock +11| Search +20| Sleight of Hand +11| Survival +1 (+3 following tracks)| Use Rope +1 (+3 with bindings) ,Cleave| Multiattack| Power Attack,Chaotic Evil-Aligned Plane,6,Standard,Chaotic Evil,-,Solitary or gang (3–6),8–14 HD (Large)| 15–21 HD (Huge)
40,Balor,Outsider,Chaotic| Demon| Extraplanar| Evil,Large,20,d8,200,11,8|18|0|0|0,35|16|28,20,36, +1 vorpal longsword +33 melee (2d6+8/19–20) , +1 vorpal longsword +31/+26/+21/+16 melee (2d6+8/19–20) and +1 flaming whip +30/+25 melee (1d4+4 plus 1d6 fire plus entangle| 2 blocks of range)| or 2 slams +31 melee (1d10+7),2|2,Death throes| entangle| spell-like abilities| summon demon| vorpal sword,Damage reduction 15/cold iron and good| darkvision 60 ft.| flaming body| immunity to electricity| fire| and poison| resistance to acid 10 and cold 10| spell resistance 28| telepathy 100 ft.| true seeing,22,19,19,35,25,31,24,24,26,Bluff +31| Concentration +33| Diplomacy +35| Disguise +8 (+10 acting)| Hide +26| Intimidate +33| Knowledge (any two) +30| Listen +38| Move Silently +30| Search +30| Sense Motive +30| Spellcraft +30 (+32 scrolls)| Spot +38| Survival +7 (+9 following tracks)| Use Magic Device +31 (+33 scrolls),Cleave| Improved Initiative| Improved Two-Weapon Fighting| Power Attack| Quicken Spell-Like Ability (telekinesis)| Two-Weapon Fighting| Weapon Focus (longsword) ,Chaotic Evil-Aligned Plane,20,Standard coins| double goods| standard items,Chaotic Evil,-,Solitary or troupe (1 balor| 1 marilith| and 2–5 hezrous),21–30 HD (Large)| 31–60 HD (Huge)
41,Barbed Devil(Hamatula),Outsider,Devil| Extraplanar| Evil| Lawful,Medium,12,d8,72,6,6|0|0|0|0,29|16|23,12,22,Claw +18 melee (2d8+6 plus fear),2 claws +18 melee (2d8+6 plus fear),1|1,Fear| improved grab| impale 3d8+9| summon devil,Barbed defense| damage reduction 10/good| darkvision 60 ft.| immunity to fire and poison| resistance to acid 10 and cold 10| see in darkness| spell resistance 23| spell-like abilities| telepathy 100 ft. ,14,14,12,23,23,23,12,14,18,Concentration +21| Diplomacy +6| Hide +21| Intimidate +19| Knowledge (any one) +16| Listen +19| Move Silently +21| Search +16| Sense Motive +17| Spot +19| Survival +2 (+4 following tracks),Alertness| Cleave| Improved Grapple| Iron Will| Power Attack,Lawful Evil-Aligned Plane,11,Standard,Lawful Evil,-,Solitary| pair| team (3–5)| or squad (6–10),13–24 (Medium)| 25–36 HD (Large)
42,Barghest,Outsider,Evil| Extraplanar| Lawful| Shapechanger,Medium,6,d8,33,6,6|0|0|0|0,18|12|16,6,9,Bite +9 melee (1d6+3),Bite +9 melee (1d6+3) and 2 claws +4 melee (1d4+1),1|1,Spell-like abilities| feed,Change shape| damage reduction 5/magic| darkvision 60 ft.| scent,6,7,7,17,15,13,14,14,14,Bluff +11| Diplomacy +6| Disguise +2 (+4 acting)| Hide +11*| Intimidate +13| Jump +12| Listen +11| Move Silently +10| Search +11| Sense Motive +11| Spot +11| Survival +11 (+13 following tracks),Combat Reflexes| Improved Initiative| Track,Evil-Aligned Plane,4,Double Standard ,Lawful Evil,-,Solitary or pack (3–6),Special (see description)
43,Bearded Devil(Barbazu),Outsider,Devil| Extraplanar| Evil| Lawful,Medium,6,d8,18,6,8|0|0|0|0,19|12|17,6,8,Glaive +9 melee (1d10+3 plus infernal wound) or claw +8 melee (1d6+2),Glaive +9/+4 melee (1d10+3 plus infernal wound) or 2 claws +8 melee (1d6+2),1|1,Infernal wound| beard| battle frenzy| summon devil,Damage reduction 5/silver or good| darkvision 60 ft.| immunity to fire and poison| resistance to acid 10 and cold 10| see in darkness| spell resistance 17| telepathy 100 ft.,8,7,5,15,15,17,6,10,10,Climb +11| Diplomacy +2| Hide +11| Listen +9| Move Silently +9| Sense Motive +9| Spot +9,Improved Initiative| Power Attack| Weapon Focus (glaive),Lawful Evil-Aligned Plane,5,Standard,Lawful Evil,6,Solitary| pair| team (3–5)| or squad (6–10),7–9 HD (Medium)| 10–18 HD (Large)
44,Bebilith,Outsider,Chaotic| Extraplanar| Evil,Huge,12,d8,96,5,8|0|0|0|4,22|9|21,12,29,Bite +19 melee (2d6+9 plus poison) or web +11 ranged,Bite +19 melee (2d6+9 plus poison) and 2 claws +14 melee (2d4+4)| or web +11 ranged,3|2,Poison| rend armor| web,Damage reduction 10/good| darkvision 60 ft.| plane shift| scent| telepathy 100 ft.,16,9,9,28,12,26,11,13,13,Climb +24| Diplomacy +3| Hide +16| Jump +28| Listen +16| Move Silently +16| Search +15| Sense Motive +16| Spot +16| Survival +1 (+3 following tracks),Cleave| Improved Initiative| Improved Grapple| Power Attack| Track,Chaotic Evil-Aligned Plane,10,None,Chaotic Evil,-,Solitary,13–18 HD (Huge)| 19–36 HD (Gargantuan)
